ip,total_hits,unique_urls,php_attempts,url_entropy,bot_score,suspected_bot
1.24.16.182,1,1,False,-0.0,0.5,False
1.52.1.95,1,1,False,-0.0,0.5,False
1.52.245.52,1,1,False,-0.0,0.5,False
1.53.151.53,1,1,False,-0.0,0.5,False
1.53.240.59,1,1,False,-0.0,0.5,False
1.54.153.195,1,1,False,-0.0,0.5,False
1.54.7.222,1,1,False,-0.0,0.5,False
1.55.11.70,1,1,False,-0.0,0.5,False
10.130.179.125,8,2,0,1.0,3.0,False
10.130.181.80,2,2,0,1.0,3.0,False
10.134.101.60,1,1,False,-0.0,0.5,False
10.134.16.125,10,2,0,1.0,3.0,False
10.138.60.43,1,1,False,-0.0,0.5,False
10.140.107.104,1,1,False,-0.0,0.5,False
10.140.158.30,1,1,False,-0.0,0.5,False
10.140.178.209,1,1,False,-0.0,0.5,False
10.140.231.71,1,1,False,-0.0,0.5,False
100.28.125.50,1,1,False,-0.0,0.5,False
101.32.205.94,1,1,False,-0.0,0.5,False
101.33.14.15,1,1,False,-0.0,0.5,False
101.33.21.17,1,1,False,-0.0,0.5,False
101.33.21.22,1,1,False,-0.0,0.5,False
101.33.32.4,1,1,False,-0.0,0.5,False
101.42.251.52,2,2,0,1.0,3.0,False
101.47.133.110,1,1,False,-0.0,0.5,False
101.47.133.32,1,1,False,-0.0,0.5,False
101.47.133.73,1,1,False,-0.0,0.5,False
101.47.134.21,1,1,False,-0.0,0.5,False
101.47.134.87,1,1,False,-0.0,0.5,False
101.47.134.88,1,1,False,-0.0,0.5,False
101.47.135.157,1,1,False,-0.0,0.5,False
101.47.135.192,1,1,False,-0.0,0.5,False
101.47.135.198,1,1,False,-0.0,0.5,False
101.47.135.53,1,1,False,-0.0,0.5,False
101.47.137.84,1,1,False,-0.0,0.5,False
101.47.138.111,1,1,False,-0.0,0.5,False
101.47.138.81,1,1,False,-0.0,0.5,False
101.47.138.89,1,1,False,-0.0,0.5,False
101.47.139.14,1,1,False,-0.0,0.5,False
101.47.139.152,1,1,False,-0.0,0.5,False
101.47.139.39,1,1,False,-0.0,0.5,False
101.47.139.6,1,1,False,-0.0,0.5,False
101.47.14.55,1,1,False,-0.0,0.5,False
101.47.141.54,1,1,False,-0.0,0.5,False
101.47.160.192,1,1,False,-0.0,0.5,False
101.47.160.95,1,1,False,-0.0,0.5,False
101.47.161.59,1,1,False,-0.0,0.5,False
101.47.166.212,1,1,False,-0.0,0.5,False
101.47.166.223,1,1,False,-0.0,0.5,False
101.47.166.37,1,1,False,-0.0,0.5,False
101.47.166.75,1,1,False,-0.0,0.5,False
101.47.166.92,1,1,False,-0.0,0.5,False
101.47.167.126,1,1,False,-0.0,0.5,False
101.47.167.138,1,1,False,-0.0,0.5,False
101.47.167.191,1,1,False,-0.0,0.5,False
101.47.167.205,1,1,False,-0.0,0.5,False
101.47.167.21,1,1,False,-0.0,0.5,False
101.47.167.233,1,1,False,-0.0,0.5,False
101.47.167.243,1,1,False,-0.0,0.5,False
101.47.167.247,1,1,False,-0.0,0.5,False
101.47.167.5,2,2,0,1.0,3.0,False
101.47.167.70,1,1,False,-0.0,0.5,False
101.47.174.1,1,1,False,-0.0,0.5,False
101.47.174.216,1,1,False,-0.0,0.5,False
101.47.174.48,1,1,False,-0.0,0.5,False
101.47.174.70,1,1,False,-0.0,0.5,False
101.47.175.156,1,1,False,-0.0,0.5,False
101.47.175.206,1,1,False,-0.0,0.5,False
101.47.177.88,1,1,False,-0.0,0.5,False
101.47.181.202,1,1,False,-0.0,0.5,False
101.47.182.41,1,1,False,-0.0,0.5,False
101.47.20.245,1,1,False,-0.0,0.5,False
102.157.179.71,1,1,False,-0.0,0.5,False
102.159.80.40,1,1,False,-0.0,0.5,False
102.188.2.226,1,1,False,-0.0,0.5,False
102.209.217.127,1,1,False,-0.0,0.5,False
102.216.86.84,1,1,False,-0.0,0.5,False
102.217.159.141,1,1,False,-0.0,0.5,False
102.219.24.113,1,1,False,-0.0,0.5,False
102.39.81.14,1,1,False,-0.0,0.5,False
103.106.242.232,1,1,False,-0.0,0.5,False
103.112.204.14,1,1,False,-0.0,0.5,False
103.115.175.157,4,3,0,1.5,4.5,False
103.124.110.97,1,1,False,-0.0,0.5,False
103.129.120.252,1,1,False,-0.0,0.5,False
103.133.140.153,1,1,False,-0.0,0.5,False
103.133.174.213,1,1,False,-0.0,0.5,False
103.133.175.240,1,1,False,-0.0,0.5,False
103.137.40.64,1,1,False,-0.0,0.5,False
103.140.24.7,1,1,False,-0.0,0.5,False
103.143.139.140,1,1,False,-0.0,0.5,False
103.145.255.185,1,1,False,-0.0,0.5,False
103.147.184.57,1,1,False,-0.0,0.5,False
103.153.130.156,1,1,False,-0.0,0.5,False
103.155.118.195,1,1,False,-0.0,0.5,False
103.156.2.3,1,1,False,-0.0,0.5,False
103.156.4.104,1,1,False,-0.0,0.5,False
103.156.42.135,1,1,False,-0.0,0.5,False
103.175.135.237,1,1,False,-0.0,0.5,False
103.176.88.159,1,1,False,-0.0,0.5,False
103.203.48.122,2,2,1,1.0,4.5,False
103.203.48.42,2,1,0,-0.0,0.5,False
103.205.69.28,1,1,False,-0.0,0.5,False
103.217.190.26,1,1,False,-0.0,0.5,False
103.244.172.87,1,1,False,-0.0,0.5,False
103.25.231.107,4,4,0,2.0,6.0,False
103.251.209.177,1,1,False,-0.0,0.5,False
103.41.24.241,1,1,False,-0.0,0.5,False
103.95.81.216,1,1,False,-0.0,0.5,False
104.171.153.32,7,4,0,1.95,5.9,False
104.219.198.110,2,2,0,1.0,3.0,False
104.253.166.119,1,1,False,-0.0,0.5,False
104.253.166.146,1,1,False,-0.0,0.5,False
104.253.166.38,1,1,False,-0.0,0.5,False
104.253.166.43,1,1,False,-0.0,0.5,False
104.253.166.53,1,1,False,-0.0,0.5,False
104.253.166.54,1,1,False,-0.0,0.5,False
104.253.166.56,1,1,False,-0.0,0.5,False
104.253.166.73,1,1,False,-0.0,0.5,False
104.28.104.61,2,2,0,1.0,3.0,False
104.28.104.62,2,2,0,1.0,3.0,False
104.28.236.175,1,1,False,-0.0,0.5,False
104.28.254.73,1,1,False,-0.0,0.5,False
104.28.57.248,1,1,False,-0.0,0.5,False
104.28.92.199,2,2,0,1.0,3.0,False
104.28.94.190,2,2,0,1.0,3.0,False
104.28.97.46,2,2,0,1.0,3.0,False
104.28.97.47,2,2,0,1.0,3.0,False
104.47.64.254,1,1,False,-0.0,0.5,False
105.156.181.249,1,1,False,-0.0,0.5,False
105.234.180.22,1,1,False,-0.0,0.5,False
105.245.32.165,1,1,False,-0.0,0.5,False
105.97.200.163,1,1,False,-0.0,0.5,False
106.213.84.147,1,1,False,-0.0,0.5,False
106.52.249.139,1,1,False,-0.0,0.5,False
106.75.23.243,1,1,False,-0.0,0.5,False
106.75.23.247,1,1,False,-0.0,0.5,False
107.116.185.27,2,2,0,1.0,3.0,False
107.144.163.176,4,1,0,-0.0,0.5,False
107.163.168.10,1,1,False,-0.0,0.5,False
107.163.168.100,1,1,False,-0.0,0.5,False
107.163.168.103,1,1,False,-0.0,0.5,False
107.163.168.110,1,1,False,-0.0,0.5,False
107.163.168.115,1,1,False,-0.0,0.5,False
107.163.168.128,1,1,False,-0.0,0.5,False
107.163.168.133,1,1,False,-0.0,0.5,False
107.163.168.134,1,1,False,-0.0,0.5,False
107.163.168.15,1,1,False,-0.0,0.5,False
107.163.168.156,1,1,False,-0.0,0.5,False
107.163.168.168,1,1,False,-0.0,0.5,False
